fountain_id,park_id,park_cpd_id,park_name,location,location_description,type,is_bottle_filler,status,remediation_plan,remediated,latest_result_ppb,tested_2025,ever_elevated,max_lead_ever_ppb,lat,lng
0001-01-01,0,1,39th Street Service Yard,NW of Bosses Office,,indoor,0,ON,Remain,1,2.0,1,0,14.1,,
0001-02-01,0,1,39th Street Service Yard,Inbetween Fountains,,indoor,0,ON,Remain,1,2.0,1,1,51.1,,
0002-01-01,1,2,McGuane,McGuane #1 - High,"Northwest corner of fieldhouse, south of playlot",outdoor,0,ON,Remain,1,2.0,1,0,2.0,,
0002-01-02,1,2,McGuane,McGuane #1 - Low,"Northwest corner of fieldhouse, south of playlot",outdoor,0,ON,Remain,0,2.0,1,0,2.0,,
0002-04-01,1,2,McGuane,McGuane #4 - High,Diamond 2 - east side,outdoor,0,ON,Remain,0,2.0,1,0,2.4,,
0002-04-02,1,2,McGuane,McGuane #4 - Low,Diamond 2 - east side,outdoor,0,ON,Remain,0,2.0,1,0,2.5,,
0002-05-01,1,2,McGuane,McGuane #5 - High,East of field house,outdoor,0,OFF,Fix/Replace LSL,0,,0,0,2.0,,
0002-05-02,1,2,McGuane,McGuane #5 - Low,East of field house,outdoor,0,OFF,Fix/Replace LSL,0,,0,0,2.0,,
0002-06-01,1,2,McGuane,Near Gym - High,,indoor,0,ON,Remain,0,2.0,1,0,2.0,,
0002-06-02,1,2,McGuane,Near Gym - Low,,indoor,0,ON,Fix/Replace LSL,0,2.0,1,0,2.0,,
0002-07-01,1,2,McGuane,Pool Area,,indoor,0,ON,Remain,0,2.0,1,0,2.8,,
0002-08-01,1,2,McGuane,Balcony by Table Tennis - High,,indoor,0,ON,Fix/Replace LSL,0,2.0,1,0,3.6,,
0002-08-02,1,2,McGuane,Balcony by Table Tennis - Low,,indoor,0,ON,Fix/Replace LSL,0,2.0,1,0,2.0,,
0002-09-01,1,2,McGuane,Outside Meeting Room - High,,indoor,0,ON,Remain,1,2.0,1,0,2.0,,
0002-09-02,1,2,McGuane,Outside Meeting Room - Low,,indoor,0,ON,Remain,0,2.0,1,1,22.0,,
0002-09-BF,1,2,McGuane,Outside Meeting Room - Bottle Filler,,indoor,1,ON,Remain,0,2.0,1,0,2.0,,
0002-10-01,1,2,McGuane,Kitchen Sink,,indoor,0,ON,Fix/Replace LSL,0,2.0,1,0,7.5,,
0002-11-01,1,2,McGuane,Men's Locker Room,,indoor,0,OFF,Fix/Replace LSL,0,,0,0,6.2,,
0003-01-01,2,3,Armour Square,Armour Square #1 - High,Pool deck,outdoor,0,CONT,Fix/Replace LSL,0,2.0,1,0,2.0,,
0003-01-02,2,3,Armour Square,Armour Square #1 - Low,Pool deck,outdoor,0,CONT,Fix/Replace LSL,0,2.0,1,0,2.0,,
0003-02-01,2,3,Armour Square,Armour Square #2 - High,South of playlot entrance,outdoor,0,ON,Remain,1,2.0,1,0,4.4,,
0003-02-02,2,3,Armour Square,Armour Square #2 - Middle,South of playlot entrance,outdoor,0,ON,Remain,0,2.0,1,0,4.3,,
0003-02-03,2,3,Armour Square,Armour Square #2 - Low,South of playlot entrance,outdoor,0,ON,Remain,0,2.0,1,0,4.3,,
0003-03-01,2,3,Armour Square,Armour Square #3 - High,"East side of walking path, north of southeast entrance",outdoor,0,ON,Remain,1,,0,0,,,
0003-03-02,2,3,Armour Square,Armour Square #3 - Low,"East side of walking path, north of southeast entrance",outdoor,0,ON,Remain,0,,0,0,,,
0003-04-01,2,3,Armour Square,Armour Square #4 - High,"West of south diamond, east of tennis courts",outdoor,0,CONT,Fix/Replace LSL,0,41.4,1,1,41.4,,
0003-04-02,2,3,Armour Square,Armour Square #4 - Low,"West of south diamond, east of tennis courts",outdoor,0,CONT,Fix/Replace LSL,0,40.0,1,1,40.0,,
0003-05-01,2,3,Armour Square,Main Lobby - High,,indoor,0,ON,Fix/Replace LSL,0,2.0,1,0,14.0,,
0003-05-BF,2,3,Armour Square,Main Lobby - Bottle Filler,,indoor,1,ON,Fix/Replace LSL,0,2.0,1,0,2.0,,
0003-06-01,2,3,Armour Square,Girls' Gym Hallway - High,,indoor,0,ON,Remain,0,2.0,1,0,2.0,,
0003-06-02,2,3,Armour Square,Girls' Gym Hallway - Low,,indoor,0,ON,Remain,0,2.0,1,0,2.0,,
0003-07-01,2,3,Armour Square,Game Room - High,,indoor,0,ON,Remain,0,2.0,1,0,2.0,,
0003-07-02,2,3,Armour Square,Game Room - Low,,indoor,0,ON,Remain,0,2.0,1,0,2.0,,
0003-08-01,2,3,Armour Square,Kitchen Sink,,indoor,0,ON,Remain,0,2.0,1,0,2.0,,
0004-01-01,3,4,Fuller,Fuller #1 - High,Near spray pool,outdoor,0,ON,Remain,1,2.0,1,0,2.0,,
0004-01-02,3,4,Fuller,Fuller #1 - Low,Near spray pool,outdoor,0,ON,Remain,0,2.0,1,0,2.0,,
0004-01-BF,3,4,Fuller,Fuller #1 - Bottle Filler,Near spray pool,outdoor,1,ON,Remain,0,2.0,1,0,2.0,,
0004-02-01,3,4,Fuller,Fuller #2,Near basketball courts,outdoor,0,CONT,Fix/Replace LSL,0,2.0,1,0,2.0,,
0004-03-01,3,4,Fuller,Fuller #3 - High,Southeast of field house,outdoor,0,ON,Remain,1,2.0,1,0,2.0,,
0004-03-02,3,4,Fuller,Fuller #3 - Low,Southeast of field house,outdoor,0,ON,Remain,0,2.0,1,0,2.0,,
0004-03-BF,3,4,Fuller,Fuller #3 - Bottle Filler,Southeast of field house,outdoor,1,ON,Remain,0,2.0,1,0,2.0,,
0004-05-01,3,4,Fuller,Fuller #5,On pool deck,outdoor,0,CONT,Fix/Replace LSL,0,2.0,1,0,2.8,,
0004-06-01,3,4,Fuller,Main Lobby,,indoor,0,ON,Fix/Replace LSL,0,2.0,1,0,2.2,,
0004-07-01,3,4,Fuller,West Gym Hallway,,indoor,0,ON,Fix/Replace LSL,0,2.0,1,0,2.8,,
0004-08-01,3,4,Fuller,East Gym Hallway - High,,indoor,0,ON,Remain,0,2.0,1,0,2.0,,
0004-08-BF,3,4,Fuller,East Gym Hallway - Bottle Filler,,indoor,1,ON,Remain,0,3.0,1,0,3.0,,
0004-09-01,3,4,Fuller,Boxing Gym,,indoor,0,ON,Fix/Replace LSL,0,2.0,1,0,5.4,,
0004-10-01,3,4,Fuller,Kitchen Sink,,indoor,0,ON,Remain,0,2.0,1,0,2.0,,
0005-01-01,4,5,Cornell Square,Cornell Square #1,On pool deck,outdoor,0,CONT,Fix/Replace LSL,0,2.0,1,0,2.0,,
0005-02-01,4,5,Cornell Square,Cornell Square #2,In front of field house,outdoor,0,ON,Remain,1,,0,0,3.4,,
0005-03-01,4,5,Cornell Square,Cornell Square #3 - High,By spraypool,outdoor,0,ON,Remain,1,2.0,1,0,2.0,,
0005-03-02,4,5,Cornell Square,Cornell Square #3 - Middle,By spraypool,outdoor,0,ON,Remain,0,,0,0,2.0,,
0005-03-03,4,5,Cornell Square,Cornell Square #3 - Low,By spraypool,outdoor,0,ON,Remain,0,2.0,1,0,2.0,,
0005-06-01,4,5,Cornell Square,Near Entrance,,indoor,0,ON,Fix/Replace LSL,0,2.0,1,0,8.7,,
0005-07-01,4,5,Cornell Square,Kitchen Sink,,indoor,0,ON,Remain,0,2.0,1,0,2.0,,
0006-03-01,5,6,Russell Square,Russell Square #3,POOL DECK,outdoor,0,CONT,Fix/Replace LSL,0,,0,0,2.0,,
0006-04-01,5,6,Russell Square,Russell Square #4 - High,"3RD BASE LINE OF WEST DIAMOND, ON PATH",outdoor,0,ON,Remain,1,,0,0,2.0,,
0006-04-02,5,6,Russell Square,Russell Square #4 - Low,"3RD BASE LINE OF WEST DIAMOND, ON PATH",outdoor,0,ON,Remain,0,,0,0,2.0,,
