id,park_id,park_name,park_address,area_code,has_outdoor,has_indoor,outdoor_fountain_count,outdoor_bottle_fillers,indoor_fixture_count,total_fixture_count,outdoor_remediated_count,indoor_remediated_count,outdoor_ever_elevated_count,indoor_ever_elevated_count,total_ever_elevated_count,max_lead_ever_ppb
0,0001,39th Street Service Yard,3501 S COTTAGE GROVE AVE,C6,0,1,0,0,2,2,0,2,0,1,1,51.1
1,0002,McGuane,2901 S POPLAR AVE,C5,1,1,6,0,10,16,1,1,0,1,1,22.0
2,0003,Armour Square,3309 S SHIELDS AVE,C5,1,1,9,0,7,16,2,0,2,0,2,41.4
3,0004,Fuller,331 W 45TH ST,C5,1,1,8,2,6,14,2,0,0,0,0,5.4
4,0005,Cornell Square,1809 W 50TH ST,C4,1,1,5,0,2,7,2,0,0,0,0,8.7
5,0006,Russell Square,3045 E 83RD ST,S6,1,1,10,3,3,13,3,0,1,0,1,42.0
6,0007,Sherman,1301 W 52ND ST,S2,1,1,13,2,6,19,4,0,0,0,0,2.0
7,0008,Ogden,6500 S RACINE AVE,S2,1,1,15,2,4,19,3,0,0,0,0,8.2
8,0009,Hamilton,513 W 72ND ST,S2,1,1,11,2,4,15,2,1,0,0,0,2.0
9,0010,Marquette,6734 S KEDZIE AVE,S4,1,1,19,2,7,26,5,0,1,0,1,20.9
10,0011,Calumet,9801 S AVENUE G,S6,1,1,19,2,11,30,5,0,0,2,2,75.0
11,0012,Bessemer,8930 S MUSKEGON AVE,S6,1,1,10,2,4,14,3,0,0,0,0,11.0
12,0013,Palmer,201 E 111TH ST,S5,1,1,12,1,6,18,1,0,1,0,1,40.0
13,0014,Davis Square,4430 S MARSHFIELD AVE,C4,1,1,4,0,8,12,1,0,0,0,0,4.1
14,0015,Grand Crossing,7655 S INGLESIDE AVE,S5,1,1,8,0,4,12,1,0,3,0,3,93.5
15,0016,Trumbull,2400 E 105TH ST,S6,1,1,13,0,8,21,5,0,0,2,2,72.3
16,0017,Mann,2949 E 131ST ST,S6,1,1,6,0,8,14,0,0,2,7,9,508.0
17,0018,Tuley,501 E 90TH PL,S5,1,1,9,0,2,11,1,0,0,0,0,2.0
18,0019,Jackson (Andrew),6401 S STONY ISLAND AVE,S3,1,1,20,0,4,24,1,1,2,1,3,183.0
19,0021,Washington,5531 S DR MARTIN LUTHER KING J,S3,1,1,19,2,13,32,7,1,1,7,8,203.0
20,0022,Gage,2415 W 55TH ST,S2,1,1,13,2,11,24,2,0,1,4,5,147.0
21,0023,McKinley,2210 W PERSHING RD,C5,1,1,15,3,5,20,3,0,0,0,0,10.5
22,0024,Grant,331 E RANDOLPH ST,C3,1,1,70,3,3,73,7,0,6,0,6,92.3
23,0026,Foster,1440 W 84TH ST,S2,1,1,8,0,7,15,1,0,0,0,0,4.0
24,0027,Burnham,425 E MCFETRIDGE DR,,1,0,47,2,0,47,3,0,1,0,1,47.2
25,0029,Avalon,1215 E 83RD ST,S6,1,1,9,1,8,17,3,1,2,2,4,35.1
26,0033,Rainey,4350 W 79TH ST,,1,0,2,0,0,2,0,0,0,0,0,5.1
27,0034,Northerly Island,1521 S LINN WHITE DR,C3,1,1,5,1,5,10,1,1,0,1,1,50.1
28,0040,Gompers,4222 W FOSTER AVE,N4,1,1,15,2,11,26,4,3,1,1,2,33.9
29,0041,Eugene Field,5100 N RIDGEWAY AVE,N4,1,1,6,0,4,10,0,0,0,1,1,20.3
30,0045,Ada,11250 S ADA ST,S5,1,1,4,0,3,7,1,0,0,0,0,2.0
31,0047,Crescent,2230 W 108TH PL,,1,0,3,0,0,3,0,0,0,0,0,2.0
32,0048,Kennedy,11320 S WESTERN AVE,S4,1,1,12,3,3,15,3,0,2,0,2,103.0
33,0059,Oriole,5430 N OLCOTT AVE,N1,1,1,6,1,2,8,1,0,0,0,0,11.3
34,0060,Olympia,6566 N AVONDALE AVE,N1,1,1,9,2,3,12,3,0,0,0,0,12.0
35,0061,Brooks (Oscar),7100 N HARLEM AVE,N1,1,1,3,1,3,6,1,0,0,0,0,2.0
36,0062,Edison,6755 N NORTHWEST HWY,N1,0,1,0,0,2,2,0,0,0,2,2,22.5
37,0065,Fernwood,10436 S WALLACE ST,S5,1,1,1,0,4,5,0,0,0,0,0,8.5
38,0066,Euclid,9800 S PARNELL AVE,S5,1,1,4,0,2,6,1,0,1,0,1,196.0
39,0070,Forest Glen,5073 W BERWYN AVE,,1,0,2,0,0,2,0,0,0,0,0,4.1
40,0075,Hollywood,3312 W THORNDALE AVE,N3,1,1,1,0,1,2,0,0,0,1,1,34.5
41,0080,Athletic Field,3546 W ADDISON ST,N4,1,1,3,0,1,4,0,0,0,0,0,5.2
42,0081,Avondale,3516 W SCHOOL ST,N4,1,1,4,1,3,7,1,0,0,0,0,15.0
43,0082,Jensen,4600 N LAWNDALE AVE,,1,0,4,0,0,4,0,0,0,0,0,2.0
44,0083,Independence,3945 N SPRINGFIELD AVE,N4,1,1,3,0,8,11,0,0,0,0,0,2.2
45,0084,Kilbourn,3501 N KILBOURN AVE,N4,1,1,7,2,5,12,2,0,0,0,0,5.7
46,0085,Kolmar,4143 N KOLMAR AVE,,1,0,1,0,0,1,0,0,1,0,1,24.4
47,0086,Mayfair,4550 W SUNNYSIDE AVE,N4,1,1,3,0,3,6,0,2,0,2,2,253.0
48,0091,Rosedale,6312 W ROSEDALE AVE,N1,1,1,4,0,2,6,0,0,0,0,0,2.9
49,0093,Gladstone,5421 N MENARD AVE,N1,1,1,3,0,1,4,0,0,0,0,0,7.7
